metric,model,mean_baseline,mean_rag,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,scenarios_improved,scenarios_worsened,scenarios_unchanged,test_used,raw_p_value,holm_adjusted_p_value
mean_ground_truth_indicator_f1,deepseek-r1:8b,0.0,0.0933,0.0933,0.0,0.0,0.1933,3,0,17,sign_test,0.25,0.5
mean_ground_truth_indicator_f1,gemma3:12b,0.04,0.2042,0.1642,0.0,0.0717,0.2692,8,0,12,sign_test,0.00781,0.03906
mean_ground_truth_indicator_f1,gpt-oss:20b,0.0067,0.135,0.1283,0.0,0.035,0.2367,6,0,14,sign_test,0.03125,0.09375
mean_ground_truth_indicator_f1,llama3,0.0,0.2042,0.2042,0.0,0.0792,0.3375,7,0,13,sign_test,0.01562,0.0625
mean_ground_truth_indicator_f1,qwen3:8b,0.0667,0.15,0.0833,0.0,-0.0083,0.1917,3,1,16,sign_test,0.625,0.625
mean_latency,deepseek-r1:8b,5.8499,5.0491,-0.8009,-0.7245,-1.1267,-0.4953,3,17,0,sign_test,0.00258,0.01288
mean_latency,gemma3:12b,10.8429,11.1555,0.3127,0.5275,-0.2612,0.7494,15,5,0,sign_test,0.04139,0.12417
mean_latency,gpt-oss:20b,12.2192,17.4869,5.2677,4.7945,3.2576,7.32,15,5,0,sign_test,0.04139,0.12417
mean_latency,llama3,5.0066,5.2698,0.2633,0.2315,0.1386,0.3913,17,3,0,sign_test,0.00258,0.01288
mean_latency,qwen3:8b,4.754,4.8304,0.0764,0.0785,-0.0087,0.1578,12,8,0,sign_test,0.50344,0.50344
latency_coefficient_of_variation,deepseek-r1:8b,0.0454,0.0678,0.0224,0.023,0.0101,0.0347,15,5,0,sign_test,0.04139,0.04139
latency_coefficient_of_variation,gemma3:12b,0.0482,0.1149,0.0667,0.0705,0.0554,0.0765,19,1,0,sign_test,4e-05,0.0002
latency_coefficient_of_variation,gpt-oss:20b,0.0603,0.1214,0.0611,0.0526,0.0376,0.0855,18,2,0,sign_test,0.0004,0.00161
latency_coefficient_of_variation,llama3,0.0539,0.0609,0.0069,0.0105,-0.0069,0.0178,16,4,0,sign_test,0.01182,0.02364
latency_coefficient_of_variation,qwen3:8b,0.0443,0.0778,0.0335,0.0357,0.0198,0.0502,17,3,0,sign_test,0.00258,0.00773
