metric,model,mean_baseline,mean_rag,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,scenarios_improved,scenarios_worsened,scenarios_unchanged,test_used,raw_p_value,holm_adjusted_p_value,raw_p_value_display,holm_adjusted_p_value_display
strict_schema_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
indicator_vocabulary_compliance_rate,deepseek-r1:8b,0.0,0.44,0.44,0.0,0.24,0.65,9,0,11,wilcoxon,0.00389,0.00716,0.004,0.007
indicator_vocabulary_compliance_rate,gemma3:12b,0.0,0.84,0.84,1.0,0.68,0.99,17,0,3,wilcoxon,6e-05,0.00028,< 0.001,< 0.001
indicator_vocabulary_compliance_rate,gpt-oss:20b,0.0,0.45,0.45,0.2,0.24,0.66,10,0,10,wilcoxon,0.00358,0.00716,0.004,0.007
indicator_vocabulary_compliance_rate,llama3,0.0,0.51,0.51,0.6,0.3,0.72,11,0,9,wilcoxon,0.00134,0.00402,0.001,0.004
indicator_vocabulary_compliance_rate,qwen3:8b,0.0,0.75,0.75,1.0,0.55,0.9,15,0,5,wilcoxon,0.00011,0.00043,< 0.001,< 0.001
classification_accuracy_across_repetitions,deepseek-r1:8b,0.75,0.55,-0.2,0.0,-0.4,-0.05,0,4,16,wilcoxon,0.0455,0.2275,0.045,0.228
classification_accuracy_across_repetitions,gemma3:12b,0.79,0.8,0.01,0.0,-0.14,0.16,2,1,17,wilcoxon,0.78549,0.95193,0.785,0.952
classification_accuracy_across_repetitions,gpt-oss:20b,0.8,0.9,0.1,0.0,-0.1,0.3,3,1,16,wilcoxon,0.31731,0.95193,0.317,0.952
classification_accuracy_across_repetitions,llama3,0.7,0.85,0.15,0.0,-0.05,0.35,4,1,15,wilcoxon,0.17971,0.71885,0.180,0.719
classification_accuracy_across_repetitions,qwen3:8b,0.85,0.8,-0.05,0.0,-0.15,0.0,0,1,19,wilcoxon,0.31731,0.95193,0.317,0.952
risk_accuracy_across_repetitions,deepseek-r1:8b,0.55,0.4,-0.15,0.0,-0.3,0.0,0,3,17,wilcoxon,0.08326,0.41632,0.083,0.416
risk_accuracy_across_repetitions,gemma3:12b,0.45,0.6,0.15,0.0,-0.05,0.35,4,1,15,wilcoxon,0.17971,0.71885,0.180,0.719
risk_accuracy_across_repetitions,gpt-oss:20b,0.71,0.65,-0.06,0.0,-0.34,0.23,5,7,8,wilcoxon,1.0,1.0,1.000,1.000
risk_accuracy_across_repetitions,llama3,0.4,0.55,0.15,0.0,-0.15,0.45,7,4,9,wilcoxon,0.36571,1.0,0.366,1.000
risk_accuracy_across_repetitions,qwen3:8b,0.6,0.65,0.05,0.0,-0.1,0.2,2,1,17,wilcoxon,0.5637,1.0,0.564,1.000
mean_ground_truth_indicator_precision,deepseek-r1:8b,0.0,0.13,0.13,0.0,0.0,0.28,3,0,17,wilcoxon,0.10247,0.20494,0.102,0.205
mean_ground_truth_indicator_precision,gemma3:12b,0.06,0.2,0.14,0.0,0.03,0.2733,7,1,12,wilcoxon,0.06802,0.20407,0.068,0.204
mean_ground_truth_indicator_precision,gpt-oss:20b,0.01,0.165,0.155,0.0,0.04,0.295,6,0,14,wilcoxon,0.02728,0.10912,0.027,0.109
mean_ground_truth_indicator_precision,llama3,0.0,0.275,0.275,0.0,0.1083,0.475,7,0,13,wilcoxon,0.01406,0.07029,0.014,0.070
mean_ground_truth_indicator_precision,qwen3:8b,0.1,0.2,0.1,0.0,-0.025,0.25,3,1,16,wilcoxon,0.19365,0.20494,0.194,0.205
mean_ground_truth_indicator_recall,deepseek-r1:8b,0.0,0.075,0.075,0.0,0.0,0.15,3,0,17,wilcoxon,0.08326,0.16653,0.083,0.167
